Year,AsiaPacific,NorthAmerica,Europe,MiddleEast,Commonwealth,Africa,SouthCentralAmerica
1965,1431,3774,3428,137,1919,194,306
1970,2235,4701,4226,172,2337,230,391
1975,2932,4916,4442,225,2896,314,492
1980,3556,5381,4801,339,3280,433,606
1985,4161,5213,5398,532,2761,582,591
1990,5351,5683,5460,671,2848,662,653
1995,6764,5994,4805,898,2017,720,797
2000,7696,6628,4789,1045,1798,792,915
2005,11175,6846,4984,1339,1872,937,1006
2010,13976,6475,4675,1710,1939,1096,1174
2011,14848,6354,4598,1770,2039,1097,1226
2012,15286,6111,4537,1836,2070,1133,1277
2013,15637,6284,4429,1893,2035,1159,1336
2014,15818,6282,4199,1940,2046,1197,1354
2015,15956,6171,4207,1987,2017,1207,1352
2016,16119,6062,4255,2041,2021,1240,1309
2017,16476,6024,4296,2050,2023,1262,1298
2018,16895,6179,4247,2054,2128,1277,1267
2019,17179,6019,4087,2104,2110,1297,1244
2020,16753,5307,3593,2025,1981,1195,1129